"Female","Male"
4.87825570771471,6.03754731011336
5.93142182098764,5.07942630036206
4.46097056086907,5.6306781559249
5.46706808175706,5.69724712437521
5.38009821295305,5.59530839816018
5.52209947377356,5.64930162873708
5.15171717850007,5.69995671710343
5.78027707865050,5.73377275499886
4.71305105090644,5.95794337128858
5.28851131393683,5.30738306508269
5.18713674094128,6.00927181260915
4.49615875770924,6.15023820979747
5.20931738610018,5.39588783876837
5.30938337591685,5.95944227322747
4.92835655849594,5.388444579797
4.76523579166613,5.33748964215926
5.07993654221362,6.01326796904118
5.70615044851121,5.41188170761266
4.13537004488560,5.13711436060818
5.58222937427556,4.97904706931722
5.11101856957327,5.74167358389448
6.17429571626801,5.61828702447412
5.38431133221072,6.96310290433844
5.26044276385716,6.90975069533543
5.81457879082077,6.72179220285358
5.3904050927385,5.01894148797543
5.19731934930498,5.8678621203016
5.05876435700109,6.16640577441
4.5934564893836,5.44518157302457
5.21051812187968,5.90526452809957
4.99043931487724,5.56210838691873
5.54659180322597,5.95552473523065
5.90243582155127,5.65315640145048
4.63048599188587,5.89070866149087
5.64968408869722,5.01135427550390
5.75441395490438,4.93100961011047
4.46567069655695,5.40715369016502
5.96056776652281,5.55721906745999
4.75720887225078,5.46438053511264
4.13504261481173,5.4159261550992
4.79872557972328,6.27864546818322
5.33805316460224,5.24940135506114
5.06865778970643,6.15747786156285
5.12129262774356,5.86961608760291
4.65458421819013,6.61928206327439
4.79714802496972,5.80451430998455
4.63925223571784,6.20884274320062
4.73086091619194,5.77676778630248
5.5615010183906,5.2882373797677
6.05253726462086,5.34835732235684
4.61047479182573,4.98837167037991
5.71728734765691,5.89425551332727
5.14457505875293,5.52866776916097
4.4298289961835,6.57901739897899
4.80384445715727,6.8113861952084
4.44192691617856,5.41546517075254
5.6996154138153,5.18923887908629
5.11940310173408,5.9613313804723
6.08725803421637,6.74789632796949
4.69464370329542,5.30362737608061
5.56964494573582,5.64596762256761
5.22765574975943,6.40870886006507
5.67496362577979,5.41819829663715
5.3537080367115,5.50414197481791
5.73742352750029,6.70277624527943
4.54951558599512,6.4478813139107
4.65896528932198,6.20399220559552
5.84449105676474,5.38299532729548
5.09908345386953,6.71907446887929
4.23263400824550,5.97575081085831
4.84926725251458,5.71976157450366
5.48420194871081,5.3003662400985
5.66906206145998,6.7463528988279
5.89513024911898,6.31598163064585
4.629247689444,6.38915944313299
6.14674329081722,6.89536570988068
5.63777763341618,5.97940845957391
5.64532020481772,5.99997497611814
5.85718901350589,5.37203971651351
4.21574794179568,5.27221819982552
4.47220121761189,6.03789247818756
5.05992667637707,5.76481087037562
6.03267874166902,4.96406358476024
5.63651647331742,5.6089615100281
4.73401103302176,6.2810456241304
5.5096001140357,5.45923053376254
5.89032875826922,6.32785391907259
5.08147902750638,5.47781424820645
4.55618125602878,6.04909539673887
4.60232308239901,5.95966655241322
4.96159636400905,5.90206281325261
5.87226109248141,5.63974922405291
5.29979269784588,6.2865571195733
4.44960297021773,5.14681912158101
4.92448004232883,6.83094810755006
4.61517770687266,4.93280750036218
4.20173623503214,5.31131116173281
5.54404835740464,4.98249332729815
5.23872365042831,5.70749994719549
4.74015797688957,6.55273674535608
